Term,Definition,Part of Speech,Gender,Whence
awyren(nau),plane(s),noun,feminine,Unit 6
barn,opinion,noun,feminine,Unit 6
braf,fine,adjective,,Unit 6
bwrw eira,to snow,verb,,Unit 6
bwrw glaw,to rain,verb,,Unit 6
bws (bysiau),bus(es),noun,masculine,Unit 6
cau,to close,verb,,Unit 6
cyfarfod,to meet,verb,,Unit 6
cyfarfod(ydd),meeting(s),noun,masculine,Unit 6
cymylog,cloudy,adjective,,Unit 6
cynnes,warm,adjective,,Unit 6
cân (caneuon),song(s),noun,feminine,Unit 6
dechrau,to start,verb,,Unit 6
diflas,"boring, miserable",adjective,,Unit 6
eira,snow,noun,masculine,Unit 6
gadael,to leave,verb,,Unit 6
glaw,rain,noun,masculine,Unit 6
gorffen,to finish,verb,,Unit 6
gorfod,to have to,verb,,Unit 6
gwlyb,wet,adjective,,Unit 6
gwraig (gwragedd),wife (wives),noun,feminine,Unit 6
gwybod,to know,verb,,Unit 6
gwyntog,windy,adjective,,Unit 6
gŵr (gwŷr),husband(s),noun,masculine,Unit 6
hanner,half,noun,masculine,Unit 6
hapus,happy,adjective,,Unit 6
hyfryd,"nice, lovely",adjective,,Unit 6
llawr,floor,noun,masculine,Unit 6
lle(fydd),place(s),noun,masculine,Unit 6
mawr,big,adjective,,Unit 6
medru,to be able to,verb,,Unit 6
neuadd(au),hall(s),noun,feminine,Unit 6
oer,cold,adjective,,Unit 6
pam?,why?,other,,Unit 6
poeth,hot,adjective,,Unit 6
prysur,busy,adjective,,Unit 6
pwysig,important,adjective,,Unit 6
rhedeg,to run,verb,,Unit 6
rhywle,somewhere,other,,Unit 6
stormus,stormy,adjective,,Unit 6
swnllyd,noisy,adjective,,Unit 6
sych,dry,adjective,,Unit 6
teulu(oedd),family (families),noun,masculine,Unit 6
torri lawr,to break down,verb,,Unit 6
traeth(au),beach(es),noun,masculine,Unit 6
trên (trenau),train(s),noun,masculine,Unit 6
tua,about,other,,Unit 6
tywydd,weather,noun,masculine,Unit 6
