actor(ion) (noun)	actor(s), masculine noun
actores(au) (noun)	actor(s), feminine noun
adolygu (verb)	to revise, to review, verb
allan (other)	out, other
ar gael (other)	available, other
athrawes(au) (noun)	teacher(s), feminine noun
athro (athrawon) (noun)	teacher(s), masculine noun
awr (oriau) (noun)	hour(s), feminine noun
benthyg (verb)	to borrow, to lend, verb
blin (adjective)	angry, adjective
cadw (verb)	to keep, to reserve, verb
camera (camerâu) (noun)	camera(s), masculine noun
ceiniog(au) (noun)	penny (pennies), feminine noun
clên (adjective)	nice, friendly, adjective
codi (verb)	to get up, to lift, verb
cogydd(ion) (noun)	chef(s), cook(s), masculine noun
cyngerdd (cyngherddau) (noun)	concert(s), masculine noun
cynta (adjective)	first, adjective
derbynnydd (noun)	receptionist, masculine noun
drama (dramâu) (noun)	drama, play(s), feminine noun
drud (adjective)	expensive, adjective
enwog (adjective)	famous, adjective
faint? (other)	how much? how many?, other
ffasiwn (noun)	fashion, masculine noun
ffatri (ffatrïoedd) (noun)	factory (factories), feminine noun
ffeindio (verb)	to find, verb
ffermwr (ffermwyr) (noun)	farmer(s), masculine noun
fflat(iau) (noun)	flat(s), feminine noun
ffonio (verb)	to phone, verb
gofyn (verb)	to ask, verb
gorsaf(oedd) (noun)	station(s), feminine noun
gwesty (gwestai) (noun)	hotel(s), masculine noun
gwirion (adjective)	silly, adjective
hen (adjective)	old, adjective
hogan (genod) (noun)	girl(s), feminine noun
hogyn (hogiau) (noun)	boy(s), masculine noun
hwyr (adjective)	late, adjective
mab (meibion) (noun)	son(s), masculine noun
maes parcio (noun)	car park, masculine noun
meddyg(on) (noun)	doctor(s), masculine noun
merch(ed) (noun)	girl(s), daughter(s), feminine noun
mewn (other)	in a, other
munud(au) (noun)	minute(s), masculine noun
nesa (adjective)	next, adjective
nyrs(ys) (noun)	nurse(s), feminine noun
oed (noun)	age (of person), masculine noun
o’r gloch (other)	o’clock, other
pen-blwydd (penblwyddi) (noun)	birthday(s), masculine noun
pennaeth (noun)	head (person), masculine noun
plismon (plismyn) (noun)	policeman (policemen), masculine noun
pobol (noun)	people, feminine noun
postmon (postmyn) (noun)	(postmen) postman, masculine noun
pres (noun)	money; brass, masculine noun
rhad (adjective)	cheap, adjective
rheolwr (rheolwyr) (noun)	manager(s), masculine noun
rheolwraig (noun)	mananger, feminine noun
rhew (noun)	ice, masculine noun
rhywun (noun)	someone, masculine noun
siarad (verb)	to talk, verb
stryd(oedd) (noun)	street(s), feminine noun
talu (verb)	to pay, verb
tocyn(nau) (noun)	ticket(s), masculine noun
trist (adjective)	sad, adjective
tŷ bwyta (tai bwyta) (noun)	restaurant(s), masculine noun
