Term,Definition,Part of Speech,Gender,Unit
Abertawe,Swansea,noun,feminine,4
Caerdydd,Cardiff,noun,feminine,4
Cymraeg,Welsh,noun,feminine,1
Cymru,Wales,noun,feminine,4
Iwerddon,Ireland,noun,feminine,4
Lloegr,England,noun,feminine,4
Llundain,London,noun,feminine,4
Nadolig,Christmas,noun,masculine,4
Yr Alban,Scotland,noun,feminine,4
a,and,other,,1
a deud y gwir,to tell the truth,other,,4
actor(ion),actor(s),noun,masculine,8
actores(au),actor(s),noun,feminine,8
adolygu,"to revise, to review",verb,,8
adre,home,other,,4
allan,out,other,,8
amgueddfa (amgueddfeydd),museum(s),noun,feminine,4
aml,often,adjective,,4
amser,time,noun,masculine,5
ar,on,other,,2
ar gael,available,other,,8
arall,"other, else",other,,3
aros,"to stay, to wait",verb,,4
athrawes(au),teacher(s),noun,feminine,8
athro (athrawon),teacher(s),noun,masculine,8
awr (oriau),hour(s),noun,feminine,7
awyren(nau),plane(s),noun,feminine,6
bach,small,adjective,,4
banc(iau),bank(s),noun,masculine,5
barn,opinion,noun,feminine,6
be?/beth?,what?,other,,2
beic(iau),bike(s),noun,masculine,4
bendigedig,fantastic,adjective,,2
benthyg,"to borrow, to lend",verb,,8
blin,angry,adjective,,7
blodyn (blodau),flower(s),noun,masculine,3
bod,to be,verb,,2
bore(au),morning(s),noun,masculine,1
braf,fine,adjective,,6
brecwast(au),breakfast(s),noun,masculine,5
bwrw eira,to snow,verb,,6
bwrw glaw,to rain,verb,,6
bws (bysiau),bus(es),noun,masculine,6
bwyd,food,noun,masculine,2
bwyta,to eat,verb,,2
byd,world,noun,masculine,4
byw,to live,verb,,1
cacen(nau),cake(s),noun,feminine,2
cadw,"to keep, to reserve",verb,,8
cael,to have,verb,,3
caffi(s),café(s),noun,masculine,3
camera (camerâu),camera(s),noun,masculine,8
canu,to sing,verb,,2
car (ceir),car(s),noun,masculine,1
cartref(i),a home (homes),noun,masculine,5
cau,to close,verb,,6
caws,cheese,noun,masculine,2
ceiniog(au),penny (pennies),noun,feminine,7
cerdded,to walk,verb,,4
cerdyn (cardiau),card(s),noun,masculine,2
chi,you,other,,1
chwaith,either,other,,2
chwarae,to play,verb,,2
cig(oedd),meat(s),noun,masculine,2
clwb (clybiau),club(s),noun,masculine,5
clywed,to hear,verb,,3
clên,"nice, friendly",adjective,,7
coch,red,adjective,,2
codi,"to get up, to lift",verb,,7
coffi(s),coffee(s),noun,masculine,2
cofio,to remember,verb,,4
coginio,to cook,verb,,5
cogydd(ion),"chef(s), cook(s)",noun,masculine,8
criced,cricket,noun,masculine,2
croeso,welcome,noun,masculine,1
cyfarfod,to meet,verb,,6
cyfarfod(ydd),meeting(s),noun,masculine,6
cymylog,cloudy,adjective,,6
cyngerdd (cyngherddau),concert(s),noun,masculine,8
cynnes,warm,adjective,,6
cynta,first,adjective,,7
cân (caneuon),song(s),noun,feminine,6
da,good,adjective,,1
dallt / deall,to understand,verb,,3
darllen,to read,verb,,1
dawnsio,to dance,verb,,2
ddoe,yesterday,other,,5
dechrau,to start,verb,,6
derbynnydd,receptionist,noun,masculine,8
deud,"to say, to tell",verb,,4
diflas,"boring, miserable",adjective,,6
dillad,clothes,noun,masculine,2
dim,not; nothing; zero,other,,2
diod(ydd),drink(s),noun,feminine,3
diolch,thanks,other,,1
diwetha,last (previous),adjective,,5
dosbarth(iadau),class(es),noun,masculine,1
drama (dramâu),"drama, play(s)",noun,feminine,8
dros,over,other,,4
